order_count,distance_uncharge,distance_charge,max_dist,obj_uncharge,obj_charge,num_veh,battery_swapping,num_vehicles,scenario
38,17.05865634359427,17.05865634359427,4.839344078939192,17.05865634359427,17.05865634359427,4,0,4,1
31,15.459678501746058,15.459678501746058,6.059759280201822,15.459678501746058,15.459678501746058,3,0,4,2
32,13.238505225744715,13.238505225744715,4.656052791827706,13.238505225744715,13.238505225744715,4,0,4,3
31,14.831904383163284,14.831904383163284,6.420110107248935,14.831904383163284,14.831904383163284,3,0,4,4
34,13.412141001901402,13.412141001901402,5.924124175127692,13.412141001901402,13.412141001901402,3,0,4,5
33,16.39897287086632,16.39897287086632,5.728653982377869,16.39897287086632,16.39897287086632,4,0,4,6
48,23.43464153006823,23.43464153006823,7.513366970310812,33.434641530068234,33.434641530068234,4,0,4,7
53,22.820686741148545,22.820686741148545,6.4986864180347235,22.820686741148545,22.820686741148545,4,0,4,8
41,19.028750295152047,19.028750295152047,6.472031391750654,19.028750295152047,19.028750295152047,4,0,4,9
42,20.967095828103446,20.967095828103446,6.725330259609529,20.967095828103446,20.967095828103446,4,0,4,10
41,21.31197198851703,21.31197198851703,6.483183168255309,21.31197198851703,21.31197198851703,4,0,4,11
36,15.422850361017561,15.422850361017561,6.250848795158262,15.422850361017561,15.422850361017561,4,0,4,12
42,17.38509140392956,17.38509140392956,5.288573576745747,17.38509140392956,17.38509140392956,4,0,4,13
32,15.73521443573142,15.73521443573142,6.15699230740552,15.73521443573142,15.73521443573142,4,0,4,14
35,18.989775932991165,18.989775932991165,6.088745075621063,18.989775932991165,18.989775932991165,4,0,4,15
35,18.087094088259786,18.087094088259786,6.782733294393976,18.087094088259786,18.087094088259786,4,0,4,16
34,15.42015546745871,15.42015546745871,5.634036934395467,15.42015546745871,15.42015546745871,4,0,4,17
39,21.276582325673882,21.276582325673882,7.256819565784733,21.276582325673882,21.276582325673882,4,0,4,18
34,16.67058545739247,16.67058545739247,5.720504678936707,16.67058545739247,16.67058545739247,3,0,4,19
37,19.78747561112009,19.78747561112009,6.387606099394784,19.78747561112009,19.78747561112009,4,0,4,20
41,18.290531522238933,18.290531522238933,5.8413212869872115,18.290531522238933,18.290531522238933,4,0,4,21
33,15.376436924453504,15.376436924453504,5.782144233039632,15.376436924453504,15.376436924453504,4,0,4,22
35,16.21924267090857,16.21924267090857,6.363998285011246,16.21924267090857,16.21924267090857,3,0,4,23
33,16.292012253470368,16.292012253470368,5.244308225732288,16.292012253470368,16.292012253470368,4,0,4,24
38,15.051555295959835,15.051555295959835,5.679586041482844,15.051555295959835,15.051555295959835,3,0,4,25
43,18.14218250960021,18.14218250960021,6.4298414256776075,18.14218250960021,18.14218250960021,4,0,4,26
47,19.296623460549046,19.296623460549046,6.9614052965812085,19.296623460549046,19.296623460549046,4,0,4,27
37,15.524282003802803,15.524282003802803,6.477058297190154,15.524282003802803,15.524282003802803,3,0,4,28
48,22.10807908832192,22.10807908832192,6.752691165322429,22.10807908832192,22.10807908832192,4,0,4,29
